運行日,運行ID1,トリップ番号,トリップの起点時刻,起点の道路種別コード,経度_origin,緯度_origin,トリップの終点時刻,終点の道路種別コード,経度_destination,緯度_destination,自動車の用途,edge_id_origin,edge_id_destination,rou_id
20211003,197978,2,20211003163213,3,139.72103,35.85103,20211003164732,3,139.77255,35.83112,3,2373076778N,cluster_9655013268_9758648902N,20211003_197978_2
20211003,197978,3,20211003170426,3,139.7776,35.83367,20211003170715,3,139.76667,35.83756,3,460087019N,cluster_1180842336_6580897642N,20211003_197978_3
20211003,197986,1,20211003040001,3,139.73028,35.95486,20211003043735,3,139.89944,35.88278,0,1340928781N,969244765N,20211003_197986_1
20211003,197986,11,20211003112443,3,139.87811,35.80021,20211003120817,3,139.73155,35.94932,0,465291269N,704992348N,20211003_197986_11
20211003,198065,1,20211003000945,3,139.8928085,35.9064285,20211003001702,3,139.8850296,35.8682957,1,cluster_1511694540_6451698437N,2118708068N,20211003_198065_1
20211003,198065,2,20211003001746,3,139.88231,35.8639364,20211003001746,3,139.88231,35.8639364,1,6279951292N,6279951292N,20211003_198065_2
20211003,198065,3,20211003002009,3,139.8688623,35.8423292,20211003002150,3,139.8537537,35.8289709,1,2306153120N,953662690N,20211003_198065_3
20211003,198065,4,20211003002448,3,139.8333359,35.8049445,20211003002521,3,139.8282864,35.8006151,1,925240917N,1417200527N,20211003_198065_4
20211003,198065,26,20211003031617,3,139.8296462,35.8023649,20211003031632,3,139.832256,35.8043946,1,2579845723N,2579787350N,20211003_198065_26
20211003,198065,27,20211003031703,3,139.8382854,35.8074441,20211003031726,3,139.8421751,35.8103937,1,1656959462N,4451279417N,20211003_198065_27
20211003,198065,28,20211003031806,3,139.8474745,35.8165027,20211003031827,3,139.8493943,35.8201122,1,1417040268N,5560738108N,20211003_198065_28
20211003,198065,29,20211003031917,3,139.8539737,35.828581,20211003032143,3,139.8750014,35.8493883,1,5802773401N,cluster_6403526836_746309501N,20211003_198065_29
20211003,198065,30,20211003032209,3,139.8775808,35.8539677,20211003032859,3,139.8910587,35.9030692,1,2916133886N,12064870643N,20211003_198065_30
20211003,198065,31,20211003063925,3,139.8603569,35.9749503,20211003063925,3,139.8603569,35.9749503,1,1347488735N,1347488735N,20211003_198065_31
20211003,198093,7,20211003224922,3,139.82803,35.8004,20211003225734,3,139.89932,35.87786,1,cluster_5620955863_9967280109N,cluster_1503594210_7947221530N,20211003_198093_7
20211003,198105,2,20211003052124,1,139.8284,35.80101,20211003052818,0,139.89917,35.87783,2,559436170N,5478033279N,20211003_198105_2
20211003,198123,3,20211003081819,3,139.87786,35.80178,20211003083350,3,139.70206,35.84697,2,1619643999N,2374470979N,20211003_198123_3
20211003,198123,8,20211003114605,3,139.70067,35.84704,20211003115154,3,139.71628,35.84113,2,2348758507N,1174868156N,20211003_198123_8
20211003,198123,9,20211003121815,3,139.7229,35.8455,20211003123433,3,139.87813,35.8003,2,2338936227N,465291269N,20211003_198123_9
20211003,198131,2,20211003094030,1,139.82817,35.80062,20211003094908,0,139.89909,35.87779,0,559436170N,5478033279N,20211003_198131_2
20211003,198131,5,20211003190412,0,139.8999,35.87802,20211003191602,1,139.82854,35.80104,0,5478033280N,559436170N,20211003_198131_5
20211003,198151,1,20211003135057,2,139.70135,35.80515,20211003140446,2,139.70132,35.80518,1,9366409547N,9366409547N,20211003_198151_1
20211003,198151,2,20211003170206,2,139.70059,35.80564,20211003172608,3,139.70679,35.83276,1,9367094252N,2975767327N,20211003_198151_2
20211003,198151,3,20211003184139,2,139.70914,35.83347,20211003190256,2,139.70044,35.80575,1,cluster_1737567827_9391987621N,9367094252N,20211003_198151_3
20211003,198157,1,20211003100339,2,139.89978,35.84049,20211003102630,2,139.86717,35.86047,4,312462703N,5808316398N,20211003_198157_1
20211003,198157,2,20211003123628,2,139.86279,35.86156,20211003125533,2,139.89972,35.84407,4,3755233857N,11196803229N,20211003_198157_2
20211003,198179,1,20211003092457,3,139.83502,35.99578,20211003094222,3,139.85101,35.99009,4,cluster_11049063514_1347504406N,6108168941N,20211003_198179_1
20211003,198179,2,20211003110356,3,139.85583,35.98645,20211003111635,3,139.89986,35.93042,4,cluster_11230485843_2889265998_2889265999N,cluster_1347488734_9432826244N,20211003_198179_2
20211003,198179,3,20211003143139,3,139.89896,35.93079,20211003144617,3,139.85583,35.98635,4,1346889215N,cluster_11230485843_2889265998_2889265999N,20211003_198179_3
20211003,198179,4,20211003152758,3,139.84515,35.98638,20211003160251,3,139.878,35.80058,4,1346929534N,465291269N,20211003_198179_4
20211003,198179,7,20211003185406,3,139.89879,35.93088,20211003190447,3,139.8622,35.97954,4,cluster_1347488752_9432826227N,cluster_10780141733_1347504270_6076235554_9560200248_#2moreN,20211003_198179_7
