運行日,運行ID1,トリップ番号,自動車の用途,トリップの起点時刻,起点の道路種別コード,経度_origin,緯度_origin,トリップの終点時刻,終点の道路種別コード,経度_destination,緯度_destination,edge_id_origin,edge_id_destination,rou_id
20211003,69284,1,1,20211003212117,1,139.7112483,35.7503482,20211003212340,1,139.6917289,35.772515,4361138358N,5432829255N,20211003_69284_1
20211003,69295,3,1,20211003184246,2,139.8074401,35.7548406,20211003184342,2,139.8124,35.7510012,cluster_1498816152_2395901241_2395901258_2395901263_#3moreN,1347548725N,20211003_69295_3
20211003,69295,4,1,20211003211353,2,139.8439468,35.7500217,20211003213341,2,139.8566756,35.7510417,2381951330N,1417152390N,20211003_69295_4
20211003,69324,2,1,20211003202458,2,139.6267137,36.0483384,20211003210446,2,139.9801157,35.9904622,2822042734N,1355060848N,20211003_69324_2
20211003,69430,1,1,20211003060131,2,139.8222808,35.9621906,20211003060633,2,139.8280209,35.9507821,1285944920N,1285948474N,20211003_69430_1
20211003,69430,2,1,20211003060943,2,139.8741494,35.9068594,20211003061231,2,139.8844093,35.8946911,3752769118N,cluster_6643030084_9789802337N,20211003_69430_2
20211003,69430,3,1,20211003062041,2,139.8930799,35.8455789,20211003062631,1,139.8965297,35.8421994,cluster_310493884_312136362N,206410088N,20211003_69430_3
20211003,69430,4,1,20211003063224,2,139.8958224,35.780557,20211003064013,3,139.8880329,35.7784475,6403175419N,1503177128N,20211003_69430_4
20211003,69430,25,1,20211003183946,2,139.8016205,35.7559503,20211003184306,2,139.8032293,35.7748279,cluster_10048722957_10048723634_10076921948_10076921952_#1moreN,cluster_10048722935_10048723698_713285676N,20211003_69430_25
20211003,69430,26,1,20211003184532,2,139.803009,35.7823871,20211003184555,2,139.8028789,35.7856267,cluster_10048722935_10048723698_713285676N,cluster_10048722935_10048723698_713285676N,20211003_69430_26
20211003,69430,27,1,20211003190103,2,139.7844085,35.8520065,20211003192755,1,139.7961432,35.9587404,1971994941N,4248960562N,20211003_69430_27
20211003,69430,28,1,20211003193318,2,139.7876027,36.0146445,20211003194151,2,139.7746819,36.0548599,1341070910N,717406787N,20211003_69430_28
20211003,69430,30,1,20211003194443,2,139.7734521,36.05322,20211003194443,2,139.7734521,36.05322,717406787N,717406787N,20211003_69430_30
20211003,69482,1,1,20211003151429,2,139.6829246,35.939773,20211003151622,3,139.6858743,35.9385933,8286000367N,cluster_8285996374_8286000365N,20211003_69482_1
20211003,69482,2,1,20211003153038,3,139.6859143,35.9386333,20211003153506,2,139.6918938,35.9356439,8286000367N,cluster_1343280717_4771458437N,20211003_69482_2
20211003,69482,3,1,20211003173121,2,139.6932237,35.935364,20211003173229,2,139.7003533,35.9281552,4771455520N,4527589470N,20211003_69482_3
20211003,69482,4,1,20211003180730,2,139.7063131,35.9166769,20211003181439,2,139.7079818,35.9429435,1343281457N,504755760N,20211003_69482_4
20211003,69482,5,1,20211003184806,2,139.7097216,35.9426436,20211003184806,2,139.7097216,35.9426436,1342345158N,1342345158N,20211003_69482_5
20211003,69482,6,1,20211003191248,2,139.7086117,35.9428335,20211003191646,2,139.6953332,35.9418433,12072187745N,cluster_1343281626_4771455475N,20211003_69482_6
20211003,69514,2,1,20211003131836,0,139.9988438,35.9800941,20211003133406,0,139.8716325,35.8243715,350010536N,5566359036N,20211003_69514_2
20211003,69514,3,1,20211003175836,2,139.9098019,35.7692284,20211003182210,2,139.9400055,35.8380415,cluster_4360275645_9679906887N,1699578385N,20211003_69514_3
20211003,69522,1,1,20211003121218,2,139.8937347,35.9678717,20211003121618,2,139.8731159,35.9750307,2891730782N,11734717945N,20211003_69522_1
20211003,69522,2,1,20211003123200,2,139.8747958,35.9741908,20211003123507,2,139.8933547,35.9672518,11734717930N,1346936056N,20211003_69522_2
20211003,69553,2,1,20211003140624,0,139.6400912,36.0827234,20211003143824,0,139.9083121,35.7587801,370268754N,2474789360N,20211003_69553_2
20211003,69664,1,1,20211003094519,2,139.79771,35.76982,20211003094519,2,139.79771,35.76982,cluster_10048722924_10048723644_10076921938_10076921943_#4moreN,cluster_10048722924_10048723644_10076921938_10076921943_#4moreN,20211003_69664_1
20211003,69664,2,1,20211003115211,2,139.80344,35.77095,20211003115241,2,139.80099,35.77205,cluster_10048722935_10048723698_713285676N,cluster_10048722935_10048723698_713285676N,20211003_69664_2
20211003,69680,1,1,20211003094808,2,139.6611392,36.0831837,20211003095419,2,139.6719891,36.0688754,cluster_4788176867_5611602550_7081581489N,cluster_4788176867_5611602550_7081581489N,20211003_69680_1
20211003,69680,2,1,20211003113033,2,139.6720891,36.0688254,20211003114622,2,139.6499503,36.0829435,cluster_4788176867_5611602550_7081581489N,cluster_4788176867_5611602550_7081581489N,20211003_69680_2
20211003,69712,2,1,20211003093915,1,139.70837,35.7502,20211003095054,0,139.625,35.80728,4361138358N,2550126961N,20211003_69712_2
20211003,69712,3,1,20211003192459,1,139.62503,35.84972,20211003193632,1,139.70854,35.7516,2550132181N,5432829255N,20211003_69712_3
