運行日,運行ID1,トリップ番号,自動車の用途,トリップの起点時刻,起点の道路種別コード,経度_origin,緯度_origin,トリップの終点時刻,終点の道路種別コード,経度_destination,緯度_destination
20211003,44897,4,1,20211003135042,2,139.7684807,36.0831764,20211003140422,2,139.7720236,36.0226334
20211003,44897,5,1,20211003144206,2,139.7727938,36.0145642,20211003155315,1,139.8209989,35.7513412
20211003,44946,1,1,20211003063025,2,139.672535,35.9586405,20211003064754,2,139.7744839,35.9917767
20211003,44946,2,1,20211003154513,2,139.9106373,35.8661963,20211003163258,2,139.7767838,35.9912668
20211003,45044,1,1,20211003101152,2,139.7779252,35.9334448,20211003101248,2,139.7790252,35.9318152
20211003,45044,2,1,20211003201907,2,139.8066547,35.9012301,20211003202743,2,139.7806551,35.9295056
20211003,45058,1,1,20211003135156,2,139.6447068,35.9784563,20211003135721,2,139.6265794,35.9598671
20211003,45058,2,1,20211003181536,2,139.6318607,35.8970974,20211003182258,2,139.6253509,35.912375
20211003,45128,1,1,20211003085938,2,139.6943376,36.0719354,20211003085938,2,139.6943376,36.0719354
20211003,45128,2,1,20211003093155,2,139.6895079,36.0709354,20211003093155,2,139.6895079,36.0709354
20211003,45133,4,1,20211003103207,2,139.6250629,35.8498527,20211003104933,2,139.6910383,35.8020807
20211003,45133,5,1,20211003144919,2,139.7020775,35.8001611,20211003151658,2,139.625443,35.848043
20211003,45171,1,1,20211003104336,2,139.8509151,35.7842172,20211003105042,2,139.829707,35.777528
20211003,45171,2,1,20211003135630,2,139.828507,35.777668,20211003140931,2,139.8687638,35.7858868
20211003,45171,3,1,20211003155420,2,139.8687538,35.7859068,20211003160746,2,139.8366565,35.7736086
20211003,45171,4,1,20211003171730,2,139.8348467,35.7726987,20211003172407,2,139.8509651,35.7838973
20211003,45173,1,1,20211003113635,2,139.8364164,35.778318,20211003114325,1,139.8210391,35.7500215
20211003,45173,2,1,20211003180846,1,139.7083885,35.7504582,20211003181138,1,139.691569,35.772575
20211003,45218,1,1,20211003071143,2,139.6612385,35.8864391,20211003073006,2,139.6538769,35.9589596
20211003,45218,2,1,20211003095532,2,139.6538869,35.9591396,20211003103730,2,139.6501294,35.8896786
20211003,45244,1,1,20211003111905,2,139.73605,35.89723,20211003114428,2,139.73444,35.89869
20211003,45244,2,1,20211003171836,2,139.74144,35.9003,20211003173630,2,139.77849,35.87176
20211003,45244,3,1,20211003180353,2,139.77782,35.87519,20211003181503,2,139.73897,35.89935
20211003,45251,8,1,20211003193926,2,139.9064386,36.08285,20211003194534,2,139.9992497,36.0800226
20211003,45359,2,1,20211003190835,2,139.7514548,36.0298619,20211003191900,2,139.7684307,36.0829764
20211003,45399,1,1,20211003141001,2,139.9168807,35.7813368,20211003141055,2,139.9143511,35.7805568
20211003,45399,2,1,20211003151011,2,139.9133312,35.7801368,20211003151035,2,139.9112215,35.7793468
