id,departLane,arrivalLane,vType,step1_duration,step1_routeLength,step1_waitingTime,step1_stopTime,step1_timeLoss,step4_duration,step4_routeLength,step4_waitingTime,step4_stopTime,step4_timeLoss,depart_lon,depart_lat,arrival_lon,arrival_lat
t_20211114_2366905_1,651341824#2_0,651347413#0_0,DEFAULT_VEHTYPE,245.0,2852.85,40.0,0.0,62.79,244.0,2852.85,50.0,0.0,74.23,139.880587,35.949616,139.865381,35.972175
t_20211107_591717_1,651348872#1_0,651344997_0,truck,194.0,1912.76,37.0,0.0,62.64,198.0,1912.76,36.0,0.0,64.2,,,139.867285,35.967907
t_20211010_950907_1,-162056963#6_1,-100827870#1_1,DEFAULT_VEHTYPE,159.0,1496.62,0.0,0.0,24.47,143.0,1496.62,0.0,0.0,31.04,139.696625,35.816038,139.696969,35.80417
t_20211017_203154_1,120158933#1_1,101358181#4_1,DEFAULT_VEHTYPE,157.0,1576.88,0.0,0.0,18.75,151.0,1576.88,13.0,0.0,37.28,139.778455,35.792886,139.768024,35.792528
t_20211003_461677_3,120273887#1_1,120273844#1_1,DEFAULT_VEHTYPE,56.0,577.19,0.0,0.0,9.64,60.0,578.83,5.0,0.0,19.39,,,139.697652,36.007235
t_20211107_416131_1,808277658#3_0,80103861_1,truck,284.0,4238.99,28.0,0.0,76.6,291.0,4238.99,24.0,0.0,70.05,139.879037,35.793062,139.868821,35.82816
t_20211121_215166_1,-120162123#1_1,120162123#1_1,DEFAULT_VEHTYPE,186.0,1381.66,58.0,0.0,77.33,193.0,1381.66,51.0,0.0,69.97,139.732414,35.792314,139.732414,35.792314
t_20211128_1557609_1,-102695241#0_1,-223489476#1_1,truck,303.0,2376.78,83.0,0.0,131.65,334.0,2490.34,95.0,0.0,160.99,139.698212,35.801073,139.719602,35.793266
t_20211031_3238127_1,-102695241#0_1,-223489476#1_1,truck,301.0,2376.78,75.0,0.0,130.39,300.0,2376.78,69.0,0.0,118.75,139.698212,35.801073,139.719602,35.793266
t_20211031_1466026_1,101977326#17_1,56409286#6_1,DEFAULT_VEHTYPE,195.0,1210.69,61.0,0.0,87.21,192.0,1210.69,65.0,0.0,96.05,139.78991,35.792849,139.801829,35.792807
