id,departLane,arrivalLane,vType,step1_duration,step1_routeLength,step1_waitingTime,step1_stopTime,step1_timeLoss,step4_duration,step4_routeLength,step4_waitingTime,step4_stopTime,step4_timeLoss
t_20211114_109585_1,79292402#5_1,-79292688#0_1,DEFAULT_VEHTYPE,48.00,541.58,0.00,0.00,9.69,56.00,541.58,0.00,0.00,10.48
t_20211031_1212344_1,226046429#3_1,120112478#2_1,DEFAULT_VEHTYPE,609.00,4950.91,185.00,0.00,279.56,608.00,4950.91,179.00,0.00,278.19
t_20211114_1608903_1,-1013421828_1,-101358181#2_1,DEFAULT_VEHTYPE,594.00,5439.31,161.00,0.00,266.38,766.00,5439.31,264.00,0.00,367.73
t_20211010_1114266_4,225065056#0_1,120878522#32_3,DEFAULT_VEHTYPE,156.00,1217.23,38.00,0.00,63.95,151.00,1217.23,38.00,0.00,63.31
t_20211121_181295_1,101187655#1_1,-101358181#1_1,DEFAULT_VEHTYPE,531.00,3989.92,144.00,0.00,234.28,529.00,3989.92,155.00,0.00,244.09
t_20211024_274640_1,120956297_1,-120956297_1,DEFAULT_VEHTYPE,93.00,849.38,0.00,0.00,20.26,83.00,849.38,0.00,0.00,26.33
t_20211010_1441208_1,-133720488#6_1,819169272#4_1,DEFAULT_VEHTYPE,350.00,3749.64,36.00,0.00,97.23,349.00,3749.64,29.00,0.00,93.84
t_20211107_888113_3,-156953315#3_1,-157076677#3_1,truck,241.00,2896.55,0.00,0.00,47.08,248.00,2896.55,0.00,0.00,41.54
t_20211128_314512_2,-128195434#3_1,-217825127#0_1,DEFAULT_VEHTYPE,169.00,1436.54,28.00,0.00,58.29,157.00,1436.54,31.00,0.00,62.86
t_20211024_3014464_1,-121061586#1_1,-58473437#19_1,DEFAULT_VEHTYPE,99.00,1073.59,0.00,0.00,17.17,92.00,1073.59,0.00,0.00,22.88
t_20211024_321841_1,-120273844#1_1,-120273887#1_1,DEFAULT_VEHTYPE,58.00,578.46,0.00,0.00,13.55,58.00,578.46,0.00,0.00,13.08
t_20211024_1840248_1,101977419#2_1,120112478#2_1,DEFAULT_VEHTYPE,432.00,3144.39,155.00,0.00,220.69,438.00,3144.39,138.00,0.00,196.93
t_20211114_484950_6,-686779987#0_1,1091810134#1_1,DEFAULT_VEHTYPE,272.00,2827.91,33.00,0.00,80.45,275.00,2827.91,22.00,0.00,67.83
t_20211031_354628_1,80096652#0_1,128191434_1,DEFAULT_VEHTYPE,183.00,2056.00,11.00,0.00,41.18,197.00,2056.00,0.00,0.00,26.42
t_20211031_303747_1,-995974549#5_1,707194512_1,DEFAULT_VEHTYPE,592.00,6001.24,122.00,0.00,197.09,588.00,6001.24,159.00,0.00,243.40
t_20211128_1148196_1,714824177#2_1,342031866#3_1,truck,446.00,4086.51,86.00,0.00,139.88,349.00,4086.51,32.00,0.00,84.01
t_20211010_229648_1,223489476#1_1,-100827870#1_1,DEFAULT_VEHTYPE,389.00,3424.26,87.00,0.00,156.34,350.00,3355.46,89.00,0.00,150.83
t_20211010_801692_1,223489476#1_1,-100827870#1_1,truck,387.00,3353.36,85.00,0.00,169.28,396.00,3353.36,79.00,0.00,160.84
t_20211024_3988738_6,-102695241#0_1,127199105#5_1,DEFAULT_VEHTYPE,567.00,3831.64,171.00,0.00,260.95,561.00,3831.64,191.00,0.00,285.03
t_20211003_3722841_1,124963612#5_1,243877276#1_1,DEFAULT_VEHTYPE,463.00,3934.71,112.00,0.00,184.69,452.00,3934.71,141.00,0.00,220.62
